BillNo,Itemname,Quantity,Date,Price,CustomerID,Country
536365,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 8:26,2.55,17850,United Kingdom
536365,WHITE METAL LANTERN,6,2010-12-01 8:26,3.39,17850,United Kingdom
536365,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 8:26,2.75,17850,United Kingdom
536365,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 8:26,3.39,17850,United Kingdom
536365,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 8:26,3.39,17850,United Kingdom
536365,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 8:26,7.65,17850,United Kingdom
536365,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 8:26,4.25,17850,United Kingdom
536366,HAND WARMER UNION JACK,6,2010-12-01 8:28,1.85,17850,United Kingdom
536366,HAND WARMER RED POLKA DOT,6,2010-12-01 8:28,1.85,17850,United Kingdom
536367,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 8:34,1.69,13047,United Kingdom
